Detectado,Acuracia
person, 0.9504
person, 0.8177
person, 0.8012
person, 0.9937
person, 0.9922
person, 0.9500
person, 0.9235
person, 0.9008
person, 0.8146
person, 0.9935
person, 0.9902
person, 0.9377
person, 0.9290
person, 0.9199
person, 0.7870
person, 0.9935
person, 0.9902
person, 0.9381
person, 0.9289
person, 0.9178
person, 0.7878
person, 0.9932
person, 0.9904
person, 0.9798
person, 0.9328
person, 0.8778
person, 0.8243
person, 0.9929
person, 0.9854
person, 0.9802
person, 0.9364
person, 0.8510
person, 0.7613
person, 0.9880
person, 0.9539
person, 0.9275
person, 0.8457
person, 0.8175
person, 0.7791
person, 0.6862
person, 0.9884
person, 0.9649
person, 0.9193
person, 0.7948
person, 0.7941
person, 0.5455
person, 0.9848
person, 0.9779
person, 0.9454
person, 0.8077
person, 0.7516
person, 0.7270
person, 0.9786
person, 0.9710
person, 0.8770
person, 0.8044
person, 0.7190
person, 0.6955
person, 0.6638
person, 0.6416
person, 0.9770
person, 0.9661
person, 0.9479
person, 0.8489
person, 0.8081
person, 0.6342
person, 0.6101
person, 0.9812
person, 0.9672
person, 0.9641
person, 0.8809
person, 0.8509
person, 0.6525
person, 0.6424
person, 0.9871
person, 0.9721
person, 0.9247
person, 0.8433
person, 0.7834
person, 0.5730
person, 0.9841
person, 0.9472
person, 0.8500
person, 0.7685
person, 0.7554
person, 0.6105
person, 0.9868
person, 0.9752
person, 0.9632
person, 0.7606
person, 0.7442
person, 0.9868
person, 0.9752
person, 0.9631
person, 0.7614
person, 0.7440
person, 0.9869
person, 0.9793
person, 0.9246
person, 0.8391
person, 0.8262
person, 0.9878
person, 0.9813
person, 0.9557
person, 0.8403
person, 0.8025
person, 0.9804
person, 0.9648
person, 0.9645
person, 0.8837
person, 0.8571
person, 0.5677
person, 0.5081
person, 0.9833
person, 0.9582
person, 0.9501
person, 0.8729
person, 0.8494
person, 0.5903
person, 0.9854
person, 0.9700
person, 0.8799
person, 0.8481
person, 0.8442
person, 0.5240
person, 0.9758
person, 0.9595
person, 0.9161
person, 0.8476
person, 0.7799
person, 0.9686
person, 0.9555
person, 0.9127
person, 0.8705
person, 0.8023
person, 0.5087
person, 0.9638
person, 0.9628
person, 0.8516
person, 0.8338
person, 0.7827
person, 0.5281
person, 0.9652
person, 0.9603
person, 0.8572
person, 0.7734
person, 0.7592
person, 0.5624
person, 0.9735
person, 0.9698
person, 0.8552
person, 0.8417
person, 0.7714
person, 0.6057
person, 0.9761
person, 0.9482
person, 0.9334
person, 0.8749
person, 0.7393
person, 0.5223
person, 0.9771
person, 0.9447
person, 0.9283
person, 0.8563
person, 0.7423
person, 0.5339
person, 0.9718
person, 0.9585
person, 0.8837
person, 0.8009
person, 0.6805
person, 0.5688
person, 0.9713
person, 0.9674
person, 0.8645
person, 0.7840
person, 0.5836
person, 0.5247
person, 0.9842
person, 0.9604
person, 0.8833
person, 0.7680
person, 0.6065
person, 0.5306
person, 0.9841
person, 0.9602
person, 0.8485
person, 0.8054
person, 0.6542
person, 0.9832
person, 0.9683
person, 0.8147
person, 0.7390
person, 0.5099
person, 0.9880
person, 0.9741
person, 0.8725
person, 0.7705
person, 0.7698
person, 0.5584
person, 0.9826
person, 0.9794
person, 0.8893
person, 0.7852
person, 0.7486
person, 0.5339
person, 0.9825
person, 0.9769
person, 0.9189
person, 0.7222
person, 0.5805
person, 0.9807
person, 0.9796
person, 0.9372
person, 0.8592
person, 0.7869
person, 0.6401
person, 0.5660
person, 0.9833
person, 0.9732
person, 0.8994
person, 0.8800
person, 0.7548
person, 0.6157
person, 0.5815
person, 0.9811
person, 0.9359
person, 0.8971
person, 0.7174
person, 0.5530
person, 0.5247
person, 0.9811
person, 0.9364
person, 0.8968
person, 0.7170
person, 0.5531
person, 0.5251
person, 0.9821
person, 0.9718
person, 0.8817
person, 0.7159
person, 0.5619
person, 0.9857
person, 0.9804
person, 0.8795
person, 0.6682
person, 0.5183
person, 0.9858
person, 0.9837
person, 0.8479
person, 0.7688
person, 0.9822
person, 0.9739
person, 0.9070
person, 0.7773
person, 0.6604
person, 0.6006
person, 0.5040
person, 0.9903
person, 0.9811
person, 0.9297
person, 0.7885
person, 0.7219
person, 0.6619
person, 0.5137
person, 0.9902
person, 0.9730
person, 0.9183
person, 0.8484
person, 0.8125
person, 0.5595
person, 0.5284
person, 0.9921
person, 0.9607
person, 0.9030
person, 0.8619
person, 0.8532
person, 0.7437
person, 0.9925
person, 0.9261
person, 0.9140
person, 0.8873
person, 0.8451
person, 0.8366
person, 0.9902
person, 0.9301
person, 0.8984
person, 0.8834
person, 0.8434
person, 0.8402
person, 0.9901
person, 0.9350
person, 0.9287
person, 0.8854
person, 0.8369
person, 0.7884
person, 0.9897
person, 0.9816
person, 0.8622
person, 0.8570
person, 0.8007
person, 0.7487
person, 0.9898
person, 0.9817
person, 0.8624
person, 0.8565
person, 0.8016
person, 0.7473
person, 0.9805
person, 0.9726
person, 0.9185
person, 0.8871
person, 0.7904
person, 0.6630
person, 0.9764
person, 0.9709
person, 0.9073
person, 0.8905
person, 0.7414
person, 0.5151
person, 0.9854
person, 0.9699
person, 0.8712
person, 0.8546
person, 0.7255
person, 0.5886
person, 0.9844
person, 0.9543
person, 0.9300
person, 0.8659
person, 0.6980
person, 0.6297
