Detectado,Acuracia
person, 0.9720
person, 0.9714
person, 0.9576
person, 0.9489
person, 0.9377
person, 0.9299
person, 0.9298
person, 0.9296
person, 0.9000
person, 0.8888
person, 0.8144
person, 0.7682
person, 0.7494
person, 0.7458
person, 0.7418
person, 0.6952
person, 0.6580
person, 0.6368
person, 0.6364
person, 0.5638
person, 0.5374
person, 0.5160
person, 0.9872
person, 0.9736
person, 0.9734
person, 0.9542
person, 0.9501
person, 0.9485
person, 0.9390
person, 0.9207
person, 0.9162
person, 0.8884
person, 0.8210
person, 0.8124
person, 0.8086
person, 0.7822
person, 0.7590
person, 0.7288
person, 0.7126
person, 0.6380
person, 0.6378
person, 0.5420
person, 0.5201
person, 0.5200
person, 0.9882
person, 0.9796
person, 0.9681
person, 0.9604
person, 0.9512
person, 0.9436
person, 0.9127
person, 0.8879
person, 0.8377
person, 0.8331
person, 0.8297
person, 0.8278
person, 0.8115
person, 0.7951
person, 0.7523
person, 0.7343
person, 0.7332
person, 0.6942
person, 0.6686
person, 0.6404
person, 0.5963
person, 0.5713
person, 0.5131
person, 0.5061
person, 0.9837
person, 0.9597
person, 0.9592
person, 0.9523
person, 0.9441
person, 0.9349
person, 0.9147
person, 0.8905
person, 0.8890
person, 0.8745
person, 0.8655
person, 0.8629
person, 0.8040
person, 0.7642
person, 0.7267
person, 0.7251
person, 0.6798
person, 0.6458
person, 0.6356
person, 0.6205
person, 0.6038
person, 0.5690
person, 0.5501
person, 0.9814
person, 0.9654
person, 0.9607
person, 0.9457
person, 0.9379
person, 0.9345
person, 0.9319
person, 0.9309
person, 0.8912
person, 0.8820
person, 0.8654
person, 0.8521
person, 0.8339
person, 0.7941
person, 0.7624
person, 0.7000
person, 0.6620
person, 0.6559
person, 0.6181
person, 0.5800
person, 0.5732
person, 0.5405
person, 0.5268
person, 0.9761
person, 0.9639
person, 0.9616
person, 0.9548
person, 0.9536
person, 0.9535
person, 0.9382
person, 0.9213
person, 0.8986
person, 0.8954
person, 0.8950
person, 0.8771
person, 0.8381
person, 0.7765
person, 0.7087
person, 0.6814
person, 0.6234
person, 0.6043
person, 0.5788
person, 0.5728
person, 0.5095
person, 0.5075
person, 0.9729
person, 0.9652
person, 0.9578
person, 0.9578
person, 0.9559
person, 0.9495
person, 0.9352
person, 0.9334
person, 0.9267
person, 0.9093
person, 0.9026
person, 0.8719
person, 0.8008
person, 0.7756
person, 0.7400
person, 0.6760
person, 0.6607
person, 0.5664
person, 0.5650
person, 0.5629
person, 0.5541
person, 0.5357
person, 0.9827
person, 0.9668
person, 0.9630
person, 0.9624
person, 0.9572
person, 0.9536
person, 0.9378
person, 0.9377
person, 0.9185
person, 0.9007
person, 0.8988
person, 0.8638
person, 0.8144
person, 0.8050
person, 0.7522
person, 0.7123
person, 0.7112
person, 0.7036
person, 0.6850
person, 0.6421
person, 0.5801
person, 0.5403
person, 0.9784
person, 0.9703
person, 0.9607
person, 0.9606
person, 0.9570
person, 0.9494
person, 0.9304
person, 0.9084
person, 0.9075
person, 0.8909
person, 0.8864
person, 0.8568
person, 0.8465
person, 0.7826
person, 0.7637
person, 0.7618
person, 0.7540
person, 0.7181
person, 0.6414
person, 0.6039
person, 0.5810
person, 0.5413
person, 0.9609
person, 0.9604
person, 0.9561
person, 0.9545
person, 0.9521
person, 0.9455
person, 0.9189
person, 0.8707
person, 0.8699
person, 0.8670
person, 0.8465
person, 0.8274
person, 0.8046
person, 0.7905
person, 0.7684
person, 0.7410
person, 0.7060
person, 0.6854
person, 0.6721
person, 0.6688
person, 0.6218
person, 0.5380
person, 0.5305
person, 0.5086
person, 0.9815
person, 0.9772
person, 0.9702
person, 0.9562
person, 0.9519
person, 0.9498
person, 0.9432
person, 0.9398
person, 0.8907
person, 0.8814
person, 0.8392
person, 0.8197
person, 0.7294
person, 0.7118
person, 0.6850
person, 0.6808
person, 0.6416
person, 0.6083
person, 0.6006
person, 0.5950
person, 0.5812
person, 0.5633
person, 0.5224
person, 0.9762
person, 0.9751
person, 0.9570
person, 0.9523
person, 0.9504
person, 0.9440
person, 0.9038
person, 0.8923
person, 0.8811
person, 0.8529
person, 0.8380
person, 0.7628
person, 0.7563
person, 0.7510
person, 0.6690
person, 0.6559
person, 0.6354
person, 0.6190
person, 0.5819
person, 0.5771
person, 0.5272
person, 0.5238
person, 0.5087
person, 0.9774
person, 0.9739
person, 0.9545
person, 0.9452
person, 0.9315
person, 0.9150
person, 0.9117
person, 0.9057
person, 0.8827
person, 0.8494
person, 0.7866
person, 0.7619
person, 0.7440
person, 0.6615
person, 0.6607
person, 0.6545
person, 0.6389
person, 0.6091
person, 0.6063
person, 0.5846
person, 0.5827
person, 0.5245
person, 0.9773
person, 0.9710
person, 0.9358
person, 0.9332
person, 0.9314
person, 0.8951
person, 0.8853
person, 0.8841
person, 0.8649
person, 0.8626
person, 0.8233
person, 0.7663
person, 0.7411
person, 0.6931
person, 0.6583
person, 0.6420
person, 0.6029
person, 0.5944
person, 0.5765
person, 0.5687
person, 0.5621
person, 0.5614
person, 0.5508
person, 0.5355
person, 0.9870
person, 0.9739
person, 0.9738
person, 0.9400
person, 0.9376
person, 0.9321
person, 0.9311
person, 0.9275
person, 0.9197
person, 0.8870
person, 0.8556
person, 0.8010
person, 0.7153
person, 0.7133
person, 0.7020
person, 0.6980
person, 0.6801
person, 0.6491
person, 0.6480
person, 0.6055
person, 0.5897
person, 0.5857
person, 0.5546
person, 0.5077
person, 0.9862
person, 0.9780
person, 0.9668
person, 0.9589
person, 0.9522
person, 0.9417
person, 0.9355
person, 0.9313
person, 0.9100
person, 0.8592
person, 0.8333
person, 0.7895
person, 0.7622
person, 0.7567
person, 0.7462
person, 0.7143
person, 0.7141
person, 0.6848
person, 0.6742
person, 0.6317
person, 0.5710
person, 0.5700
person, 0.5012
person, 0.9755
person, 0.9609
person, 0.9538
person, 0.9505
person, 0.9436
person, 0.9426
person, 0.9398
person, 0.9203
person, 0.8963
person, 0.8411
person, 0.8367
person, 0.8092
person, 0.7742
person, 0.7540
person, 0.7336
person, 0.7296
person, 0.7165
person, 0.7090
person, 0.6230
person, 0.5588
person, 0.5316
person, 0.9768
person, 0.9590
person, 0.9563
person, 0.9525
person, 0.9467
person, 0.9431
person, 0.9331
person, 0.9243
person, 0.9070
person, 0.8482
person, 0.8387
person, 0.8238
person, 0.7914
person, 0.7905
person, 0.6914
person, 0.6744
person, 0.6506
person, 0.6266
person, 0.6205
person, 0.5972
person, 0.5806
person, 0.5428
person, 0.9784
person, 0.9751
person, 0.9617
person, 0.9492
person, 0.9474
person, 0.9459
person, 0.9396
person, 0.9160
person, 0.8997
person, 0.8652
person, 0.8647
person, 0.8281
person, 0.8063
person, 0.7284
person, 0.7125
person, 0.6951
person, 0.6637
person, 0.6546
person, 0.5880
person, 0.5845
person, 0.5510
person, 0.5241
person, 0.9727
person, 0.9705
person, 0.9658
person, 0.9630
person, 0.9441
person, 0.9382
person, 0.9250
person, 0.9201
person, 0.8878
person, 0.8594
person, 0.8503
person, 0.8462
person, 0.8198
person, 0.7546
person, 0.7413
person, 0.7241
person, 0.7003
person, 0.6656
person, 0.6278
person, 0.5816
person, 0.5602
person, 0.9779
person, 0.9644
person, 0.9545
person, 0.9539
person, 0.9309
person, 0.9281
person, 0.9277
person, 0.8770
person, 0.8762
person, 0.8336
person, 0.8135
person, 0.7730
person, 0.7503
person, 0.7394
person, 0.7393
person, 0.7095
person, 0.6523
person, 0.5932
person, 0.5292
person, 0.5124
person, 0.9765
person, 0.9577
person, 0.9476
person, 0.9472
person, 0.9301
person, 0.9046
person, 0.8988
person, 0.8880
person, 0.8574
person, 0.8561
person, 0.8555
person, 0.8493
person, 0.8104
person, 0.7775
person, 0.7389
person, 0.7348
person, 0.7195
person, 0.7106
person, 0.6061
person, 0.5743
person, 0.5661
person, 0.5362
person, 0.5261
person, 0.9782
person, 0.9504
person, 0.9387
person, 0.9299
person, 0.9178
person, 0.8967
person, 0.8696
person, 0.8562
person, 0.8255
person, 0.7896
person, 0.7679
person, 0.7666
