Detectado,Acuracia
car, 0.9501
car, 0.9313
car, 0.9231
car, 0.7750
car, 0.6533
person, 0.5280
person, 0.5218
car, 0.9588
car, 0.9500
car, 0.9304
car, 0.9187
car, 0.7549
car, 0.6593
person, 0.5191
person, 0.5117
car, 0.9586
car, 0.9500
car, 0.9307
car, 0.9194
car, 0.7584
car, 0.6551
person, 0.5195
person, 0.5109
car, 0.9633
car, 0.9358
car, 0.9332
car, 0.9140
car, 0.8458
car, 0.7993
car, 0.7281
person, 0.5254
car, 0.9618
car, 0.9389
car, 0.9329
car, 0.9132
car, 0.8535
car, 0.7943
car, 0.7241
person, 0.5359
car, 0.9606
car, 0.9438
car, 0.9365
car, 0.9128
car, 0.8464
car, 0.7926
car, 0.7279
person, 0.5264
car, 0.9648
car, 0.9329
car, 0.9105
car, 0.8963
car, 0.7603
car, 0.7342
car, 0.9655
car, 0.9287
car, 0.9209
car, 0.8872
car, 0.7888
car, 0.7336
car, 0.9648
car, 0.9272
car, 0.9183
car, 0.8838
car, 0.7851
car, 0.7310
car, 0.5131
car, 0.9656
car, 0.9307
car, 0.9184
car, 0.8829
car, 0.7811
car, 0.7338
car, 0.9727
car, 0.9014
car, 0.8678
car, 0.8288
car, 0.8276
car, 0.6520
person, 0.6289
car, 0.5931
car, 0.9725
car, 0.8971
car, 0.8750
car, 0.8235
car, 0.8192
car, 0.6421
person, 0.6284
car, 0.5990
car, 0.9721
car, 0.8931
car, 0.8826
car, 0.8221
car, 0.8202
car, 0.6637
person, 0.6263
car, 0.6007
car, 0.9837
car, 0.8985
car, 0.8548
car, 0.8501
car, 0.8200
person, 0.6618
car, 0.5050
car, 0.9841
car, 0.9002
car, 0.8581
car, 0.8426
car, 0.8278
person, 0.6572
car, 0.5072
car, 0.9842
car, 0.9004
car, 0.8521
car, 0.8409
car, 0.8325
person, 0.6676
car, 0.9919
car, 0.9095
car, 0.8512
car, 0.8278
car, 0.8158
person, 0.6674
car, 0.6432
car, 0.9923
car, 0.9166
car, 0.8489
car, 0.8469
car, 0.8296
car, 0.6793
person, 0.6544
car, 0.9842
car, 0.9157
car, 0.8908
car, 0.7656
car, 0.6854
car, 0.5891
person, 0.5229
car, 0.9845
car, 0.9194
car, 0.8854
car, 0.7611
car, 0.6767
car, 0.5791
person, 0.5305
car, 0.9649
car, 0.9529
car, 0.9065
car, 0.8264
car, 0.7917
car, 0.6288
car, 0.9648
car, 0.9527
car, 0.9083
car, 0.8152
car, 0.7974
car, 0.6457
car, 0.9616
car, 0.9573
car, 0.9175
car, 0.8185
car, 0.8071
car, 0.6376
car, 0.9625
car, 0.9566
car, 0.9176
car, 0.8133
car, 0.8091
car, 0.6377
car, 0.9856
car, 0.9826
car, 0.9456
car, 0.8088
car, 0.7640
car, 0.7570
car, 0.9852
car, 0.9819
car, 0.9466
car, 0.8045
car, 0.7827
car, 0.7568
car, 0.9851
car, 0.9819
car, 0.9486
car, 0.8009
car, 0.7686
car, 0.7686
car, 0.9786
car, 0.9351
car, 0.9314
car, 0.7705
car, 0.5993
truck, 0.5877
car, 0.9779
car, 0.9369
car, 0.9327
car, 0.7506
truck, 0.6015
car, 0.5992
car, 0.9512
car, 0.9163
car, 0.8517
car, 0.8357
car, 0.7388
car, 0.7310
car, 0.9511
car, 0.9191
car, 0.8586
car, 0.8355
car, 0.7495
car, 0.7274
car, 0.9607
car, 0.8972
car, 0.8895
car, 0.7869
car, 0.7212
car, 0.6282
car, 0.9597
car, 0.8977
car, 0.8867
car, 0.7821
car, 0.7180
car, 0.6181
car, 0.9623
car, 0.8981
car, 0.8888
car, 0.7686
car, 0.7324
car, 0.6298
car, 0.9405
car, 0.9179
car, 0.8215
car, 0.7702
car, 0.7006
car, 0.6587
car, 0.9383
car, 0.9140
car, 0.8241
